sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024,resnet_pca_025,resnet_pca_026,resnet_pca_027,resnet_pca_028,resnet_pca_029,resnet_pca_030,resnet_pca_031,resnet_pca_032,resnet_pca_033,resnet_pca_034,resnet_pca_035,resnet_pca_036,resnet_pca_037,resnet_pca_038,resnet_pca_039,resnet_pca_040,resnet_pca_041,resnet_pca_042,resnet_pca_043,resnet_pca_044,resnet_pca_045,resnet_pca_046,resnet_pca_047,resnet_pca_048,resnet_pca_049
PASD:1024x768___4669754441,PASD,1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4669754441.png,test,-1.0781332,-0.8301077,0.11380476,0.9624344,1.2969621,-0.77957547,0.33044237,0.3787581,-0.16373143,-0.45598894,-0.6651488,-0.6895077,0.0040340424,-0.7812059,-0.6017274,0.08473219,-0.93749094,-0.7920684,0.4238066,-1.2594271,0.8669143,0.52486616,-0.57114977,-0.34588486,-0.33323777,-0.0980337,0.9408253,-0.41167167,-0.29075116,-0.13751724,0.05548764,0.21070758,0.64191383,-0.6609266,-0.39876664,-0.28895316,-0.42934474,-0.6970476,-0.29955384,0.8063536,-0.106535316,-0.3440081,-0.15703773,-0.15752654,0.639107,0.26051623,0.1779096,-0.10264991,-0.22345369,-0.062667176
PASD:1024x768___4702733058,PASD,1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4702733058.png,test,1.146476,-1.125498,2.659987,0.21648693,-0.4432872,3.096518,-0.23460557,-0.7008494,0.49686128,-0.73172754,0.021330059,-0.13568783,-0.43311483,0.78568774,-0.64405984,1.2129016,0.12260151,0.028259724,-0.7820756,-0.13858588,0.78448313,0.15583974,-0.27397618,0.38552034,-0.6933755,0.513963,0.9263701,-0.47304133,-0.77844924,0.9863368,0.22077283,-0.291877,0.5958513,0.012944296,0.31699005,-0.40077627,-0.12629658,-0.6256857,0.38366875,0.14747679,-0.9263352,0.35112467,-0.14379963,-0.12934102,0.5028137,-1.1528314,1.1962663,-0.15583569,-0.065482646,-0.5840645
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4962875195.png,test,-0.7182519,-1.2501152,1.7464001,0.086980045,1.2168548,0.32914358,-0.88392794,-0.40017948,-1.2103856,3.7292922,1.1098535,-2.0201318,0.3068936,-0.28469318,-1.610677,-0.21462466,0.5033344,0.47145715,-0.7081098,-0.094154775,0.06917335,0.41489252,0.29805973,0.67586184,-0.8356804,0.023706662,0.4393642,0.92080283,-0.8001323,-1.225429,-0.19868593,0.47734556,-0.19805793,0.42512545,-0.45428538,-0.6764165,0.72020656,0.21356155,-0.21123749,-1.0181932,0.6418824,0.9385704,0.6604371,0.17077184,-0.3716053,-0.061344087,-0.564877,1.0845281,0.9366286,-0.0327909
PASD:1024x768___5398199748,PASD,1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5398199748.png,train,-5.596102,3.9233506,2.4306285,0.3903157,1.9931993,-0.83902395,-1.6160197,0.5244306,-0.7208461,1.5586495,0.2631804,-0.3654828,-0.93117183,1.4519633,1.925607,1.4887546,-0.48180926,0.6471633,1.7483675,0.41708764,0.22623563,-0.21478593,3.6205783,1.1231959,0.59730524,0.47957006,-2.426721,0.068883404,-1.6659,-1.1109378,0.33267853,-2.103094,1.4292312,-1.0879697,0.3130308,0.93519175,-0.024503201,-0.281719,0.14775059,2.9141595,-0.29785347,0.053708285,-0.19609624,0.27585813,-0.40289673,-0.59456146,-1.1183673,-0.8483228,-0.16337469,-0.5053358
PASD:1024x768___5485090581,PASD,1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5485090581.png,train,-0.85544753,-1.0062082,2.022058,-1.0703593,0.5173212,2.243826,-0.5564916,-1.6509461,-0.4737283,1.8900602,1.1083138,-0.4081179,-0.20527416,-0.07041526,-0.62108606,-0.9142365,0.8138797,0.0033149123,0.99677473,0.71950424,-0.3151653,1.2677276,1.6643417,-0.09781054,-0.4170467,-0.29822445,-0.5458287,0.83321834,-1.2788742,-2.1236153,-0.22365719,-0.5660151,-0.955766,0.5512768,0.5659294,0.23246989,0.35446095,-0.027885407,-0.43365833,-0.052329596,-0.59478927,-0.27670607,0.5696293,0.7251584,0.9521855,-1.4099557,-1.5819125,-1.4868664,0.74389124,-0.3152924
PASD:1024x768___5895477446,PASD,1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5895477446.png,train,-0.7381548,-2.5339634,-0.104726434,1.3451338,1.5153573,-0.3989241,1.0221362,-0.7850758,-1.1656449,0.006881524,0.6039785,1.2001717,3.119964,0.025076434,-2.6938117,1.0042448,0.86807907,0.9836279,1.0202216,-0.66905504,-1.4337914,0.7631352,1.145489,1.0756767,-0.35006735,-2.446808,-1.7423291,-0.37402728,0.6397015,0.67691684,-0.43524402,-0.9155686,0.39343822,-0.52324045,0.9879037,0.21517116,-2.2287774,-1.9511722,-2.4730008,-0.0118331425,-0.39296225,-0.6507299,2.0027483,0.40235457,-0.18939489,-1.0831518,0.75351304,-0.60081434,0.11848459,0.598083
PASD:1024x768___6326442580,PASD,1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6326442580.png,train,0.10290169,-2.813557,-0.8120185,0.4658459,0.6705071,0.6658733,-0.18504183,0.21654034,0.012192428,-0.6983379,0.28664273,-0.7858038,0.010993749,-0.288263,0.35071316,0.22897328,-0.17125449,-0.20468363,0.16653776,-0.52528435,-0.13154766,0.15715507,-0.22579631,-0.38089743,-0.4231678,0.026021805,0.6726323,0.7574207,0.108624615,-0.009833574,-0.08655472,-0.045906797,-0.12857293,0.062153116,-0.12004969,0.17848994,-0.33881986,0.5752522,-0.099416845,0.35502666,0.09713791,-0.43704,-0.20895833,0.1589248,-0.169967,-0.22990689,-0.407099,0.15283747,-0.042851835,-0.23706673
PASD:1024x768___6470955539,PASD,1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6470955539.png,train,-1.4026787,-1.5420599,0.5459636,-1.1774668,0.8658791,0.36841023,0.16915369,-0.6444261,-2.0408654,-0.043095335,-0.17082751,1.242307,-1.664875,-0.503833,-0.08655864,-0.8482651,0.9615034,-0.2530168,-0.27715153,1.2469795,-0.23336077,0.007671118,0.27216113,-0.36235374,-0.3569097,0.57054657,0.45464724,0.9189253,0.96535367,-1.3230591,-0.19848047,0.7902857,1.5639882,0.025480404,0.5410205,1.6308076,-0.8061155,-1.1456367,0.04209158,0.53816277,0.3712796,-0.86657226,-0.54723567,0.25535065,1.2730298,-0.89827746,-0.41498214,1.2841345,0.20059928,-1.7628155
PASD:1024x768___6657341905,PASD,1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6657341905.png,test,-0.59589547,-0.28439665,1.9952197,-1.2767125,-1.3589535,0.9576638,1.3623888,-5.2733464,0.33466476,1.8763433,1.3490524,0.57102185,0.322931,0.52457255,0.93695855,1.8853475,-2.533242,-2.271127,1.5936813,-1.6634443,1.0431494,-1.6398983,0.7030239,-0.55423903,3.2120836,1.3980306,0.2221061,1.8723514,0.49216992,0.10758178,0.915772,0.80919397,-2.4981225,0.13661256,-1.3379841,2.6579382,-1.1832229,-2.5630302,-2.770039,-0.3527229,1.684309,0.5889604,0.17398393,2.1606677,0.101180434,-0.023669887,-1.3806229,0.25445274,0.8248204,0.70161223
PASD:1024x768___7188136873,PASD,1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7188136873.png,train,0.3866489,-2.7486365,-0.68170625,0.459549,0.46980268,0.21007198,-0.18530262,0.28957728,0.010864764,-0.6745898,-0.28919667,-1.2601776,0.38426465,-0.104627185,0.32064462,-0.022023965,-0.56316996,-0.12447883,-0.24050897,-0.6829732,0.2730195,0.22446296,0.06987238,-0.1722505,-0.39703125,-0.15266281,0.76308846,0.6041073,0.090618074,-0.10355777,-0.2755546,0.4824224,0.030352116,-0.29599822,0.10927454,0.17409529,-0.049472466,0.09359819,-0.02043698,0.35762402,0.08753674,-0.09541592,-0.14850524,0.28112566,-0.23239365,0.38089567,-0.06736909,0.13667305,0.032028407,-0.14000598
PASD:1024x768___7229767436,PASD,1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7229767436.png,train,-0.94301224,-2.1348248,0.45396584,1.3646839,1.5125077,0.40836978,0.10510212,0.7678193,-0.030732363,0.15280876,0.3642341,-0.30692303,-0.7439384,0.27497876,0.87315905,-0.07872078,-0.3849554,0.11737439,-0.14440578,0.44103453,0.12559721,0.14840415,-0.15704899,-0.3693022,-0.009393461,0.68036675,0.19680333,-0.9150938,-0.59664553,-0.13567631,0.53542566,0.03661987,0.20451385,0.6475845,0.69583404,-0.42238864,0.31879854,-0.45078072,-0.80529815,-0.40010846,0.013349667,-0.46103126,-0.31747246,-0.14034994,-0.4274179,0.41130233,0.15818675,-0.62929225,0.45838478,-0.05319065
PASD:1024x768___7892635308,PASD,1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7892635308.png,train,-2.014274,0.75741935,3.603485,-0.032145202,1.8550997,-1.9712609,1.0329771,0.9834745,-0.1539796,-0.03124081,1.3559024,-1.5595098,-0.45296356,0.34745985,-1.3053727,0.54794145,-1.2644395,-0.9369637,-0.8341951,0.043333475,1.0461144,0.255745,0.94136393,-1.4514287,1.0728384,-2.3325682,-0.023967117,0.647848,-2.643565,-0.75494117,1.1766386,0.42218515,0.18532974,-1.7906251,1.0772549,0.14069365,0.7545255,0.13395555,-1.5600169,0.81416166,-1.2458637,0.6001278,0.8034307,-1.0208863,1.4422035,-0.71957606,-0.55035883,0.19158766,0.062799424,-0.4177878
PASD:1024x768___7971560974,PASD,1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7971560974.png,train,-3.6670551,2.1682346,4.30148,-1.0174156,1.8785641,-1.7789966,-0.8467142,0.6158792,-1.2603272,3.6043606,-0.25381696,-2.1067104,0.1814695,0.74358964,0.6912815,0.8790699,-0.6081681,1.1131871,1.5702951,0.15128799,0.030282758,0.0013616979,2.394391,1.069381,0.17662047,-0.006679522,-1.4045663,1.6089205,-2.5242045,0.15178837,-1.2956569,-2.3099294,-0.7468104,-0.048968777,-1.4269272,-1.2859383,1.3614204,-0.688087,-0.22197977,-0.19549486,0.48660004,-0.24820858,0.11619287,0.733998,-1.2093914,-1.5096692,-2.6343927,0.95109785,0.5101732,1.3988651
PASD:1024x768___8072879274,PASD,1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8072879274.png,test,0.734097,-2.282565,-0.24571103,1.7563902,-0.40974706,-0.5411947,-0.26766783,-0.0122962445,-0.7513711,-0.63504106,-0.66910976,-1.4165211,-0.94066507,-1.027566,-0.29561263,0.5647014,-0.4837322,1.5281109,-0.8621367,0.613725,-0.33117557,2.2855415,-0.46510157,-0.96304005,1.7832277,-0.227727,-1.5722775,-0.31805816,0.031478092,-0.13584466,-0.4020055,0.92408574,1.2190027,2.6108851,-0.34247625,-0.77912474,-0.30991685,0.12918715,-0.53013325,-0.12101725,0.11267005,0.4903513,-0.37197393,0.4326646,0.8761536,-0.24542174,-0.3490224,-0.38113862,-0.5142706,0.17350529
PASD:1024x768___8077318332,PASD,1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8077318332.png,test,-0.099834785,-3.0027788,-0.14474499,1.3180648,0.5701717,0.5159046,0.36542237,-0.3621914,0.031926215,0.0058538076,0.47177452,-0.06531784,0.67670256,0.19870241,0.2746705,0.069973975,-0.07588008,-0.011603355,0.3124188,0.14399725,0.112584926,0.020839304,0.03958291,-0.14144844,0.1895183,0.056472994,-0.028485596,-0.17910114,0.31193602,-0.3117367,0.2904242,-0.14266253,0.13981172,0.013080999,-0.09241821,0.025682595,-0.057837218,-0.0053584278,-0.43960086,-0.35575646,0.006628424,-0.102383494,-0.2757339,0.18905571,-0.07543197,0.35019368,0.006650582,-0.011666107,-0.25813943,-0.35105073
