sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049
PASD:1024x768___4669754441,PASD,1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4669754441.png,test,10.569775,-6.2578545,-4.5383224,11.735071,-17.489634,1.3248031,7.4403796,-2.9135172,-6.2258987,22.434338,-5.417098,-14.212141,-1.3604198,13.277298,-10.773032,6.9204507,-7.2034245,14.744013,-11.434738,9.638198,6.7017794,-4.83,-4.172974,0.9999467,-1.4410634,-1.0531679,-6.8215294,6.084847,-17.218277,0.87938607,14.333286,-3.8573875,-9.791584,4.638538,3.5267882,-6.2090883,11.4421835,-0.024569772,-2.937818,1.6901623,12.652003,-5.3940377,0.9024565,-0.19308269,-4.9245853,-2.2795577,-2.0732841,-3.5712938,6.27651,1.5349603
PASD:1024x768___4702733058,PASD,1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4702733058.png,test,-13.3616705,-11.562811,12.56264,-3.6583061,18.162998,10.491455,-6.894298,-3.096746,-0.6342523,-0.28294003,-1.7192495,18.967497,-6.203494,-7.291514,-5.506345,-0.28100872,1.4833674,-5.4331036,3.171276,6.1894197,1.7379272,2.582359,7.083621,11.654467,0.18844664,-9.208973,6.547914,3.5422015,2.0951343,1.1304393,-3.900413,-4.099096,3.0984795,-1.937503,1.1168095,4.532218,6.7017446,6.967925,3.6266031,-0.22206989,-0.51628876,1.7388126,0.6847137,3.5585468,0.70120937,8.274035,-1.0226041,2.0104308,0.6832918,1.2424896
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4962875195.png,test,-11.110535,-9.7024765,-4.1050735,13.1213455,1.5564444,-3.695561,2.631672,-2.9990897,8.80514,2.907072,-1.9383447,8.576533,7.4664297,-0.54249847,-0.39376193,-12.362849,9.409874,-7.474951,-6.7164307,-11.085219,-5.358783,3.7091036,2.4986296,2.115322,3.3206244,-2.892602,7.96567,-1.5859902,5.135407,0.7748332,3.0782287,1.7189903,-2.623678,4.9984407,-0.651215,-1.6159756,4.858913,-5.5626903,1.9834554,2.4504163,-6.1028624,-2.181902,7.559866,-3.3469486,0.5570501,-8.0744915,2.9400759,-0.040264606,-3.2315722,-0.18018162
PASD:1024x768___5398199748,PASD,1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5398199748.png,train,-10.813372,12.855711,-16.124998,25.495657,-4.801729,-11.514656,-2.0877156,-7.4903116,-10.761288,4.8914,-0.761806,3.3453197,-2.7373266,3.1142366,-9.115027,-3.0900688,1.9202323,8.366789,-4.5454526,0.2966237,4.996393,-8.601984,3.970004,-3.418281,3.8964453,-0.6120106,-2.0136185,6.648688,4.110085,5.274871,-2.2498565,6.744967,0.27863276,0.2549832,-4.09313,3.9317453,6.890841,5.2816553,-0.15042925,0.7674122,-2.2922318,3.3590002,7.370206,6.3891096,3.7556496,-1.485466,2.1930935,3.4523997,3.875268,4.527312
PASD:1024x768___5485090581,PASD,1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5485090581.png,train,-20.519352,3.510745,-4.7755322,15.126263,16.645042,8.900955,1.7586627,-6.2135744,1.2739558,-2.2660863,-2.7192056,6.6970215,7.4113326,-2.9206913,-3.1794927,-1.6656957,13.560627,-10.888298,1.0375811,-0.6659118,-5.4460144,11.34078,-5.4089136,12.934183,4.2969756,-1.2414744,-0.37836647,-6.3877845,3.4451668,-3.2763572,-5.296213,-4.959891,-0.15717226,4.1767855,2.4103658,2.636429,7.6799207,7.104821,-0.28112602,-1.7838869,-6.4305534,5.0625944,3.5428505,-2.2790523,-1.5617962,-1.0227716,1.1629231,7.7134576,-0.6682644,-1.5090382
PASD:1024x768___5895477446,PASD,1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5895477446.png,train,92.37846,57.182034,12.371735,41.390343,23.972757,-40.21953,38.852455,55.727913,23.355507,12.859781,-25.975056,50.944557,-58.254932,26.550858,-11.734849,-3.3695164,2.9407518,-36.8656,36.385387,-33.43762,11.170558,9.779801,-8.16038,26.596895,4.6136947,-6.963791,-1.5185635,-0.5359497,-26.509205,-11.231755,5.21237,-5.8692865,40.20397,-27.73987,2.5291078,-6.8754826,-31.738367,34.583862,-4.826525,-5.8825006,21.125889,4.7993183,34.995132,6.055949,-21.326551,38.589466,-29.963747,29.411026,74.672195,-37.673107
PASD:1024x768___6326442580,PASD,1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6326442580.png,train,47.563885,-1.0747013,-10.8522835,-53.8853,-2.9331517,-0.8115931,-1.829648,-7.410015,13.532301,-8.017164,-6.709956,-27.16284,-18.110329,11.299737,-11.889941,-39.276154,6.473135,31.901533,-9.485166,-12.825637,-16.718695,-16.880907,-33.7404,-6.138255,13.1241045,15.709396,-26.849031,50.520603,-5.8997464,-27.090977,6.479416,-13.525387,3.5584702,30.9415,-4.394287,22.077715,7.981033,-30.469156,4.96966,2.6980753,9.503027,4.4952416,23.98461,-49.15621,5.9396315,7.8291354,59.98037,27.947369,23.806528,-25.318993
PASD:1024x768___6470955539,PASD,1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6470955539.png,train,16.905952,-23.569145,-17.945526,8.21586,38.772198,18.88018,18.649452,-12.647105,14.53599,-8.35319,8.579891,-14.443728,5.138029,-7.26747,14.960811,15.888512,-0.43892384,9.277266,0.61777484,-21.81068,11.355236,-30.043352,-2.039288,-11.441036,3.876556,29.35032,-18.594543,-1.7529618,-7.9674582,-13.356627,11.452176,-1.4403616,-6.9961147,-22.677013,1.5101953,-7.9202137,17.816858,10.784605,18.623907,0.993027,17.508255,-19.122677,42.076916,27.015423,-12.978363,5.662724,29.669716,-6.7904224,-22.499037,14.626024
PASD:1024x768___6657341905,PASD,1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6657341905.png,test,-16.555332,6.5123224,4.6681247,3.6912696,10.446181,13.274569,2.9634943,-4.158539,-1.2179251,0.3902868,0.654135,-1.3785589,1.5950029,9.430613,-5.4256916,1.4625187,13.943923,-3.7249303,0.314466,-0.12633252,-1.6766286,7.121527,-5.150456,5.998698,1.3145058,-0.9309068,2.1607015,-4.8896794,-4.426006,3.6067004,-1.6921976,1.2834997,-0.4440137,0.5297332,-0.92720205,2.4413457,2.3935046,3.0175982,0.94650364,-0.5514679,-7.690637,7.9945707,1.067197,0.32531232,2.6488252,-0.67450917,-0.9103135,0.2809708,0.91718566,-1.6939323
PASD:1024x768___7188136873,PASD,1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7188136873.png,train,-23.194706,5.7605534,6.1409025,-5.850717,-6.515218,13.933481,-8.911911,1.5885954,7.5365977,2.8782382,-4.8892655,-8.496057,-5.1602955,8.241042,3.5018353,9.29314,-8.382925,6.258344,4.705132,9.91675,3.2312376,6.8730426,-10.029265,-4.8013153,-4.068368,14.650812,4.135806,14.147388,0.8188267,-1.4556125,-1.334482,-10.220289,-4.5717916,-2.2897873,-1.0944374,3.4296007,-2.7023773,1.5472898,-1.0828581,5.467699,8.211603,-3.8667865,1.8327711,-11.188866,5.2507367,-0.41952294,4.85649,1.0804316,10.646174,-6.346352
PASD:1024x768___7229767436,PASD,1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7229767436.png,train,6.4468536,-8.655594,-5.1247435,55.719223,-32.0048,9.747704,-25.486069,-2.0176618,-22.219315,-8.853119,23.245743,27.586859,-6.676762,5.783767,-0.37555808,-25.29327,-43.102867,6.924787,10.924978,3.1559422,-14.764011,1.5520582,19.70792,-49.12209,-13.082013,18.385735,8.302248,30.279284,-36.95409,18.281536,-0.13179374,-24.564085,0.04875934,-41.67897,1.1434892,20.834057,-19.456589,61.353703,35.134075,25.536247,-35.854313,29.656483,4.949569,18.229012,-65.30296,6.606994,39.808002,-10.346754,-13.6359625,21.049402
PASD:1024x768___7892635308,PASD,1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7892635308.png,train,13.969734,-27.047916,4.564565,37.116077,-50.361217,-1.5351264,-2.344047,-4.4737315,1.9316959,12.332544,1.6833069,10.668569,9.915491,-11.222537,-0.7056567,-11.339044,25.898643,11.014259,-15.44149,-29.057213,4.845871,-16.461752,13.848626,16.766447,13.622103,-15.579092,20.779696,15.582395,13.287279,-13.254898,1.2342594,-26.260094,25.22769,-12.490226,-23.167562,1.585187,6.942677,7.077431,0.58690596,12.768282,-13.71897,-32.36638,-12.140975,-20.307037,-4.2460594,-1.6995001,16.509945,2.2186308,-15.675603,-15.988635
PASD:1024x768___7971560974,PASD,1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7971560974.png,train,-10.909393,-20.178024,0.8965904,31.317356,-7.072283,-24.20848,-1.944756,3.7652707,3.6389594,20.483242,-14.733346,12.59111,4.5336523,15.200173,3.9273043,-21.0127,3.539997,11.88604,-21.579521,-15.715948,-11.311913,-2.0142484,-5.1058693,-23.604479,2.14856,7.964667,3.6069353,14.80601,-3.214806,-12.583595,7.743535,-2.1025114,-21.10154,5.301676,-19.496288,-9.542972,16.454752,-4.2179174,-4.952275,17.286116,-7.413502,3.5954816,3.3430314,0.695897,5.0393934,-4.193034,-3.4758224,10.388896,4.8900704,13.237039
PASD:1024x768___8072879274,PASD,1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8072879274.png,test,-3.2713737,0.49839783,21.079582,5.2317123,-20.966154,-5.9650826,3.0908985,2.2733002,-4.227571,11.353152,-13.956222,-13.737039,-6.257148,2.2661006,-2.78713,5.876336,-6.8921785,-4.3742647,-7.3236575,-4.222499,-7.5168047,2.9826896,-7.724037,0.44835746,-8.758095,2.8303359,-6.901834,-10.508695,-1.48025,1.667018,5.1441565,-1.8525373,-0.6356343,5.2581863,9.9583435,-6.667532,-5.028205,3.432778,-1.7368693,-8.369312,-0.19847322,0.10762489,-1.1986583,0.07804692,-1.3233359,-2.9485304,6.295624,0.44679546,1.6208342,3.0700054
PASD:1024x768___8077318332,PASD,1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8077318332.png,test,9.728836,20.587534,17.549637,14.059166,2.8085866,6.0546083,-1.8064547,5.6779065,24.406822,4.128834,1.9503286,6.437745,6.722026,11.226488,2.9722428,7.572686,7.100102,1.2470767,-1.2989013,-14.538153,-1.2932329,0.20727074,-10.30453,5.6235766,0.7986958,-8.825787,-8.277101,5.5244336,3.8678942,2.016016,-6.11876,3.956819,-5.887759,0.60255,4.4072547,-6.9649267,1.3873142,-4.597135,-7.745665,4.1381164,-5.9461374,-4.0674243,-6.856183,-10.860475,1.0549402,10.112842,7.3161063,-3.1110473,-7.347452,7.844368
PASD:1024x768___8096129179,PASD,1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8096129179.png,test,9.902508,3.0026636,-24.886988,-17.168215,-6.600444,-5.0266876,-14.97068,-4.156753,10.327219,-3.407796,6.0254593,-18.985395,-8.921289,-8.249246,-3.6633258,-14.618062,-1.5498981,5.595634,-10.585324,-2.7290485,-6.308835,-6.8177514,-6.374606,10.073003,8.042824,-0.27483785,5.8942075,1.930426,-2.4600205,-9.412921,0.8326938,0.6472368,-7.9463806,-1.5807863,12.022704,0.10960293,-3.8124838,-9.4849825,2.040648,-0.50650823,-7.704091,10.218927,-0.43582082,3.2949712,-4.9418335,6.622681,3.1959448,-5.8890038,6.4781146,-16.504879
