sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
PASD:1024x768___4669754441,PASD,1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4669754441.png,test,-1.0781332,-0.8301077,0.11380476,0.9624344,1.2969621,-0.77957547,0.33044237,0.3787581,-0.16373143,-0.45598894,-0.6651488,-0.6895077,0.0040340424,-0.7812059,-0.6017274,0.08473219,-0.93749094,-0.7920684,0.4238066,-1.2594271,0.8669143,0.52486616,-0.57114977,-0.34588486,-0.33323777
PASD:1024x768___4702733058,PASD,1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4702733058.png,test,1.146476,-1.125498,2.659987,0.21648693,-0.4432872,3.096518,-0.23460557,-0.7008494,0.49686128,-0.73172754,0.021330059,-0.13568783,-0.43311483,0.78568774,-0.64405984,1.2129016,0.12260151,0.028259724,-0.7820756,-0.13858588,0.78448313,0.15583974,-0.27397618,0.38552034,-0.6933755
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4962875195.png,test,-0.7182519,-1.2501152,1.7464001,0.086980045,1.2168548,0.32914358,-0.88392794,-0.40017948,-1.2103856,3.7292922,1.1098535,-2.0201318,0.3068936,-0.28469318,-1.610677,-0.21462466,0.5033344,0.47145715,-0.7081098,-0.094154775,0.06917335,0.41489252,0.29805973,0.67586184,-0.8356804
PASD:1024x768___5398199748,PASD,1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5398199748.png,train,-5.596102,3.9233506,2.4306285,0.3903157,1.9931993,-0.83902395,-1.6160197,0.5244306,-0.7208461,1.5586495,0.2631804,-0.3654828,-0.93117183,1.4519633,1.925607,1.4887546,-0.48180926,0.6471633,1.7483675,0.41708764,0.22623563,-0.21478593,3.6205783,1.1231959,0.59730524
PASD:1024x768___5485090581,PASD,1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5485090581.png,train,-0.85544753,-1.0062082,2.022058,-1.0703593,0.5173212,2.243826,-0.5564916,-1.6509461,-0.4737283,1.8900602,1.1083138,-0.4081179,-0.20527416,-0.07041526,-0.62108606,-0.9142365,0.8138797,0.0033149123,0.99677473,0.71950424,-0.3151653,1.2677276,1.6643417,-0.09781054,-0.4170467
PASD:1024x768___5895477446,PASD,1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5895477446.png,train,-0.7381548,-2.5339634,-0.104726434,1.3451338,1.5153573,-0.3989241,1.0221362,-0.7850758,-1.1656449,0.006881524,0.6039785,1.2001717,3.119964,0.025076434,-2.6938117,1.0042448,0.86807907,0.9836279,1.0202216,-0.66905504,-1.4337914,0.7631352,1.145489,1.0756767,-0.35006735
PASD:1024x768___6326442580,PASD,1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6326442580.png,train,0.10290169,-2.813557,-0.8120185,0.4658459,0.6705071,0.6658733,-0.18504183,0.21654034,0.012192428,-0.6983379,0.28664273,-0.7858038,0.010993749,-0.288263,0.35071316,0.22897328,-0.17125449,-0.20468363,0.16653776,-0.52528435,-0.13154766,0.15715507,-0.22579631,-0.38089743,-0.4231678
PASD:1024x768___6470955539,PASD,1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6470955539.png,train,-1.4026787,-1.5420599,0.5459636,-1.1774668,0.8658791,0.36841023,0.16915369,-0.6444261,-2.0408654,-0.043095335,-0.17082751,1.242307,-1.664875,-0.503833,-0.08655864,-0.8482651,0.9615034,-0.2530168,-0.27715153,1.2469795,-0.23336077,0.007671118,0.27216113,-0.36235374,-0.3569097
PASD:1024x768___6657341905,PASD,1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6657341905.png,test,-0.59589547,-0.28439665,1.9952197,-1.2767125,-1.3589535,0.9576638,1.3623888,-5.2733464,0.33466476,1.8763433,1.3490524,0.57102185,0.322931,0.52457255,0.93695855,1.8853475,-2.533242,-2.271127,1.5936813,-1.6634443,1.0431494,-1.6398983,0.7030239,-0.55423903,3.2120836
PASD:1024x768___7188136873,PASD,1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7188136873.png,train,0.3866489,-2.7486365,-0.68170625,0.459549,0.46980268,0.21007198,-0.18530262,0.28957728,0.010864764,-0.6745898,-0.28919667,-1.2601776,0.38426465,-0.104627185,0.32064462,-0.022023965,-0.56316996,-0.12447883,-0.24050897,-0.6829732,0.2730195,0.22446296,0.06987238,-0.1722505,-0.39703125
PASD:1024x768___7229767436,PASD,1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7229767436.png,train,-0.94301224,-2.1348248,0.45396584,1.3646839,1.5125077,0.40836978,0.10510212,0.7678193,-0.030732363,0.15280876,0.3642341,-0.30692303,-0.7439384,0.27497876,0.87315905,-0.07872078,-0.3849554,0.11737439,-0.14440578,0.44103453,0.12559721,0.14840415,-0.15704899,-0.3693022,-0.009393461
PASD:1024x768___7892635308,PASD,1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7892635308.png,train,-2.014274,0.75741935,3.603485,-0.032145202,1.8550997,-1.9712609,1.0329771,0.9834745,-0.1539796,-0.03124081,1.3559024,-1.5595098,-0.45296356,0.34745985,-1.3053727,0.54794145,-1.2644395,-0.9369637,-0.8341951,0.043333475,1.0461144,0.255745,0.94136393,-1.4514287,1.0728384
PASD:1024x768___7971560974,PASD,1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7971560974.png,train,-3.6670551,2.1682346,4.30148,-1.0174156,1.8785641,-1.7789966,-0.8467142,0.6158792,-1.2603272,3.6043606,-0.25381696,-2.1067104,0.1814695,0.74358964,0.6912815,0.8790699,-0.6081681,1.1131871,1.5702951,0.15128799,0.030282758,0.0013616979,2.394391,1.069381,0.17662047
PASD:1024x768___8072879274,PASD,1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8072879274.png,test,0.734097,-2.282565,-0.24571103,1.7563902,-0.40974706,-0.5411947,-0.26766783,-0.0122962445,-0.7513711,-0.63504106,-0.66910976,-1.4165211,-0.94066507,-1.027566,-0.29561263,0.5647014,-0.4837322,1.5281109,-0.8621367,0.613725,-0.33117557,2.2855415,-0.46510157,-0.96304005,1.7832277
PASD:1024x768___8077318332,PASD,1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8077318332.png,test,-0.099834785,-3.0027788,-0.14474499,1.3180648,0.5701717,0.5159046,0.36542237,-0.3621914,0.031926215,0.0058538076,0.47177452,-0.06531784,0.67670256,0.19870241,0.2746705,0.069973975,-0.07588008,-0.011603355,0.3124188,0.14399725,0.112584926,0.020839304,0.03958291,-0.14144844,0.1895183
PASD:1024x768___8096129179,PASD,1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8096129179.png,test,-0.33237603,-2.8166485,-0.5660644,0.6907778,0.6768482,0.4997201,-0.0878506,0.105069615,0.3533846,0.07458347,0.50129175,-0.11802974,-0.16942674,-0.3629611,0.3558063,0.227385,0.14286648,-0.38166004,0.23831835,0.041308235,-0.19162843,0.3362134,0.13394685,-0.029360965,-0.074503094
PASD:1024x768___8209638994,PASD,1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8209638994.png,train,0.45423892,-2.2641003,1.5076663,-0.65066135,-0.7043689,2.588244,-0.5700088,-0.77749324,0.467919,-0.56363267,-1.0659106,0.7610442,0.53617615,3.3827806,-0.27142787,-2.894726,-0.77112734,-1.7537208,-2.1735184,1.8797548,1.8007686,1.3136786,-0.9612848,-0.19088344,-2.3595614
PASD:1024x768___8463119506,PASD,1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8463119506.png,train,0.037260413,-1.988281,1.7234986,0.58765566,-2.1030715,1.3875978,1.3366244,-5.8036904,1.919728,2.996952,0.7134315,-0.04516864,0.6654795,1.6967988,2.893343,2.5507443,-2.8345423,-1.9448613,3.6107543,-3.0576096,1.8902862,-1.9796507,-0.24943319,-1.1074963,4.3790855
PASD:1024x768___8658407746,PASD,1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8658407746.png,test,-0.9886656,1.0024879,2.4382687,-1.1740701,2.559837,-1.0664097,-0.46703327,1.6143306,-0.20936626,-1.1759529,2.330836,-3.6203003,-0.08270475,-0.056020066,-0.60570127,1.84227,-2.0642924,-0.10633972,0.6537631,-0.8445236,0.79746413,-1.1414776,-0.5704071,-0.5728945,0.6366585
PASD:1024x768___9352825622,PASD,1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9352825622.png,test,4.501268,1.1367295,0.17554599,2.6480691,-4.1078186,-1.8520962,-3.5513327,-1.4361317,-0.63237727,-0.57118887,1.7427764,0.1120404,-0.8210245,-0.82394004,-0.9339121,-2.1952126,-1.4247414,-1.6968604,1.3442237,0.091063425,-1.4693768,-0.7739885,1.2295319,1.0441413,-1.0666345
PASD:1024x768___9508596066,PASD,1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9508596066.png,test,-1.9273595,0.74485826,3.3249493,2.512981,0.9330587,-2.7081022,0.8492455,1.5704819,1.1077824,-0.2791509,-0.7428588,0.9025485,0.13869417,2.140792,2.1444385,-1.1684453,-0.72225416,1.1451609,1.7264186,0.14436921,-0.60298383,1.0839299,-0.30526245,-0.05487583,0.06516355
PASD:1024x768___9607964223,PASD,1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9607964223.png,test,-0.122558914,-3.1551476,-0.67431116,0.9484724,0.76780695,0.38196617,0.50195324,-0.2647052,-0.23687626,-0.5875489,0.45482808,-0.5749652,0.6360406,0.70630956,-0.66437584,0.5751566,-0.47217342,-0.11083263,-0.5059495,-1.0388517,0.8955078,0.91994536,0.7477465,0.3930984,0.48053518
PASD:512x384___11256776836,PASD,512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___11256776836.png,train,-0.020168122,-2.569839,-0.51897657,0.7170874,0.68911153,-0.012824774,0.16509145,-0.6209247,-0.10207449,-0.3471649,-0.2764334,0.18252599,0.31035197,-0.28734633,-0.687597,0.85736525,-1.398206,0.3208066,-0.6267503,-1.0907001,0.07983814,0.7311433,0.24633057,-0.009045735,-0.23713318
PASD:512x384___2371669291,PASD,512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2371669291.png,test,-1.1593232,-1.6493704,-0.39290437,-2.415647,-0.093414545,-0.13275206,-0.37519622,-0.45080703,-0.26104188,0.7763069,-1.1119647,1.2765715,-0.17205283,-0.36902535,0.6580835,-0.7294875,0.07669422,-1.6785731,1.3796021,-0.03490327,0.6984171,1.4114274,0.060492974,-1.4037131,0.29801697
PASD:512x384___2856053454,PASD,512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2856053454.png,train,-2.0093124,-1.9116247,-0.5237045,-1.4039925,1.2725121,-1.3068348,-1.8011868,0.23968448,-1.9716644,2.3292518,-0.19993657,0.72949487,0.7695995,-1.0300438,1.8913796,0.56065905,-0.31475085,1.486445,0.6172753,-0.53330934,1.4657204,-0.6931182,-0.790343,1.4197736,0.43605682
PASD:512x384___3455219027,PASD,512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3455219027.png,train,-0.3731113,-1.5048571,0.6213775,-0.42748153,1.6878581,0.05536592,-0.09348198,1.1564372,-0.22908153,-1.9828407,2.2377696,-2.6974545,-0.035133466,1.0081074,0.26613125,0.842273,-1.0825094,0.24229565,1.1558872,0.38113555,-0.18774077,-0.79516613,-0.9485594,-0.07778886,0.05325412
PASD:512x384___3577464388,PASD,512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3577464388.png,train,-0.5746718,-3.1722047,-1.2636565,-0.6335101,-0.011055946,0.009231567,-0.25277853,0.18694723,0.66936177,0.7242836,-0.316509,0.19904506,0.5298094,-0.52994215,1.2251029,-0.6433366,0.12854792,-0.601689,0.06500795,-0.29833564,0.39123702,1.0912769,0.06398595,-1.139396,0.14484435
PASD:512x384___3918280584,PASD,512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3918280584.png,train,0.17357183,-2.9464936,-0.58362216,0.87568235,0.57697207,0.16278332,0.11735502,0.0065540634,-0.32416523,-0.63977534,0.59067035,-0.59695816,-0.0032798648,0.3405223,-0.73600274,0.44033733,-0.79860485,-0.09668693,-0.8836468,-1.1401151,0.9612676,1.0086088,0.6623493,0.38323796,0.45091197
