sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024
PASD:1024x768___4669754441,PASD,1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4669754441.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4669754441.png,test,10.569775,-6.2578545,-4.5383224,11.735071,-17.489634,1.3248031,7.4403796,-2.9135172,-6.2258987,22.434338,-5.417098,-14.212141,-1.3604198,13.277298,-10.773032,6.9204507,-7.2034245,14.744013,-11.434738,9.638198,6.7017794,-4.83,-4.172974,0.9999467,-1.4410634
PASD:1024x768___4702733058,PASD,1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4702733058.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4702733058.png,test,-13.3616705,-11.562811,12.56264,-3.6583061,18.162998,10.491455,-6.894298,-3.096746,-0.6342523,-0.28294003,-1.7192495,18.967497,-6.203494,-7.291514,-5.506345,-0.28100872,1.4833674,-5.4331036,3.171276,6.1894197,1.7379272,2.582359,7.083621,11.654467,0.18844664
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___4962875195.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___4962875195.png,test,-11.110535,-9.7024765,-4.1050735,13.1213455,1.5564444,-3.695561,2.631672,-2.9990897,8.80514,2.907072,-1.9383447,8.576533,7.4664297,-0.54249847,-0.39376193,-12.362849,9.409874,-7.474951,-6.7164307,-11.085219,-5.358783,3.7091036,2.4986296,2.115322,3.3206244
PASD:1024x768___5398199748,PASD,1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5398199748.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5398199748.png,train,-10.813372,12.855711,-16.124998,25.495657,-4.801729,-11.514656,-2.0877156,-7.4903116,-10.761288,4.8914,-0.761806,3.3453197,-2.7373266,3.1142366,-9.115027,-3.0900688,1.9202323,8.366789,-4.5454526,0.2966237,4.996393,-8.601984,3.970004,-3.418281,3.8964453
PASD:1024x768___5485090581,PASD,1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5485090581.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5485090581.png,train,-20.519352,3.510745,-4.7755322,15.126263,16.645042,8.900955,1.7586627,-6.2135744,1.2739558,-2.2660863,-2.7192056,6.6970215,7.4113326,-2.9206913,-3.1794927,-1.6656957,13.560627,-10.888298,1.0375811,-0.6659118,-5.4460144,11.34078,-5.4089136,12.934183,4.2969756
PASD:1024x768___5895477446,PASD,1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___5895477446.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___5895477446.png,train,92.37846,57.182034,12.371735,41.390343,23.972757,-40.21953,38.852455,55.727913,23.355507,12.859781,-25.975056,50.944557,-58.254932,26.550858,-11.734849,-3.3695164,2.9407518,-36.8656,36.385387,-33.43762,11.170558,9.779801,-8.16038,26.596895,4.6136947
PASD:1024x768___6326442580,PASD,1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6326442580.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6326442580.png,train,47.563885,-1.0747013,-10.8522835,-53.8853,-2.9331517,-0.8115931,-1.829648,-7.410015,13.532301,-8.017164,-6.709956,-27.16284,-18.110329,11.299737,-11.889941,-39.276154,6.473135,31.901533,-9.485166,-12.825637,-16.718695,-16.880907,-33.7404,-6.138255,13.1241045
PASD:1024x768___6470955539,PASD,1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6470955539.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6470955539.png,train,16.905952,-23.569145,-17.945526,8.21586,38.772198,18.88018,18.649452,-12.647105,14.53599,-8.35319,8.579891,-14.443728,5.138029,-7.26747,14.960811,15.888512,-0.43892384,9.277266,0.61777484,-21.81068,11.355236,-30.043352,-2.039288,-11.441036,3.876556
PASD:1024x768___6657341905,PASD,1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___6657341905.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___6657341905.png,test,-16.555332,6.5123224,4.6681247,3.6912696,10.446181,13.274569,2.9634943,-4.158539,-1.2179251,0.3902868,0.654135,-1.3785589,1.5950029,9.430613,-5.4256916,1.4625187,13.943923,-3.7249303,0.314466,-0.12633252,-1.6766286,7.121527,-5.150456,5.998698,1.3145058
PASD:1024x768___7188136873,PASD,1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7188136873.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7188136873.png,train,-23.194706,5.7605534,6.1409025,-5.850717,-6.515218,13.933481,-8.911911,1.5885954,7.5365977,2.8782382,-4.8892655,-8.496057,-5.1602955,8.241042,3.5018353,9.29314,-8.382925,6.258344,4.705132,9.91675,3.2312376,6.8730426,-10.029265,-4.8013153,-4.068368
PASD:1024x768___7229767436,PASD,1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7229767436.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7229767436.png,train,6.4468536,-8.655594,-5.1247435,55.719223,-32.0048,9.747704,-25.486069,-2.0176618,-22.219315,-8.853119,23.245743,27.586859,-6.676762,5.783767,-0.37555808,-25.29327,-43.102867,6.924787,10.924978,3.1559422,-14.764011,1.5520582,19.70792,-49.12209,-13.082013
PASD:1024x768___7892635308,PASD,1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7892635308.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7892635308.png,train,13.969734,-27.047916,4.564565,37.116077,-50.361217,-1.5351264,-2.344047,-4.4737315,1.9316959,12.332544,1.6833069,10.668569,9.915491,-11.222537,-0.7056567,-11.339044,25.898643,11.014259,-15.44149,-29.057213,4.845871,-16.461752,13.848626,16.766447,13.622103
PASD:1024x768___7971560974,PASD,1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___7971560974.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___7971560974.png,train,-10.909393,-20.178024,0.8965904,31.317356,-7.072283,-24.20848,-1.944756,3.7652707,3.6389594,20.483242,-14.733346,12.59111,4.5336523,15.200173,3.9273043,-21.0127,3.539997,11.88604,-21.579521,-15.715948,-11.311913,-2.0142484,-5.1058693,-23.604479,2.14856
PASD:1024x768___8072879274,PASD,1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8072879274.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8072879274.png,test,-3.2713737,0.49839783,21.079582,5.2317123,-20.966154,-5.9650826,3.0908985,2.2733002,-4.227571,11.353152,-13.956222,-13.737039,-6.257148,2.2661006,-2.78713,5.876336,-6.8921785,-4.3742647,-7.3236575,-4.222499,-7.5168047,2.9826896,-7.724037,0.44835746,-8.758095
PASD:1024x768___8077318332,PASD,1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8077318332.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8077318332.png,test,9.728836,20.587534,17.549637,14.059166,2.8085866,6.0546083,-1.8064547,5.6779065,24.406822,4.128834,1.9503286,6.437745,6.722026,11.226488,2.9722428,7.572686,7.100102,1.2470767,-1.2989013,-14.538153,-1.2932329,0.20727074,-10.30453,5.6235766,0.7986958
PASD:1024x768___8096129179,PASD,1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8096129179.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8096129179.png,test,9.902508,3.0026636,-24.886988,-17.168215,-6.600444,-5.0266876,-14.97068,-4.156753,10.327219,-3.407796,6.0254593,-18.985395,-8.921289,-8.249246,-3.6633258,-14.618062,-1.5498981,5.595634,-10.585324,-2.7290485,-6.308835,-6.8177514,-6.374606,10.073003,8.042824
PASD:1024x768___8209638994,PASD,1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8209638994.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8209638994.png,train,11.758068,-18.42138,-7.169528,15.714428,39.171055,25.36011,-12.386742,-34.407143,17.882812,-8.147808,-11.047692,1.6890826,-14.424966,0.64693105,15.205058,-11.301574,-6.367878,-4.7087483,20.142365,-22.784193,9.653204,-22.089329,14.89637,-10.373153,4.391194
PASD:1024x768___8463119506,PASD,1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8463119506.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8463119506.png,train,-27.582949,14.683572,8.06026,5.5492086,8.070302,8.578306,-1.4240274,-6.458389,4.3014717,1.3820198,-3.74043,-1.8328352,-2.7511504,1.4400854,-2.0223458,2.573193,7.9595146,-8.249567,-4.0928063,-5.2052794,-9.946121,4.7331843,-5.334869,8.072955,1.0341866
PASD:1024x768___8658407746,PASD,1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___8658407746.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___8658407746.png,test,21.471981,-14.628719,10.268409,-3.340084,-29.861265,-5.559743,-13.410654,1.3366921,-4.982347,-4.76217,-4.529231,10.301811,12.579812,13.93438,7.4365892,-11.0655775,-0.31143713,8.076788,-6.849762,-8.147483,5.5929585,5.244614,1.7023616,-3.606526,5.117961
PASD:1024x768___9352825622,PASD,1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9352825622.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9352825622.png,test,-28.76631,13.100521,6.97915,-2.9383957,0.18199885,0.40445197,2.488609,0.47972387,-1.1659241,-5.077514,-4.1565604,-4.541659,2.5868735,-1.1565624,2.5426898,4.3585625,2.422032,-2.5241196,3.948545,1.2693024,0.44310403,1.1642594,-2.5951924,1.5887946,0.24147797
PASD:1024x768___9508596066,PASD,1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9508596066.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9508596066.png,test,2.9950943,-15.863731,0.8034619,30.347557,-22.700117,1.698977,-16.919838,-7.805436,3.2951846,2.1141427,12.0898285,8.916039,-1.5703962,4.37583,0.9360086,-11.633775,4.9311066,5.152862,2.21497,-1.4410421,-3.907713,-1.0898215,-4.6314807,-8.0774975,-4.442026
PASD:1024x768___9607964223,PASD,1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/1024x768___9607964223.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/1024x768___9607964223.png,test,27.632557,17.32362,11.169793,-22.682447,-26.79521,16.349031,8.344231,13.847609,8.913042,2.8931632,3.3971765,9.316923,0.60911316,13.319743,-17.371845,-15.114017,-7.507593,-6.2008295,-3.7938557,-2.0922914,8.921502,9.227705,6.4837203,-2.9235802,7.7933626
PASD:512x384___11256776836,PASD,512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___11256776836.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___11256776836.png,train,16.182522,12.18907,10.242635,-8.016462,-10.161772,45.38914,-1.5882716,37.669052,-1.1033909,-12.272777,-9.719532,-1.8201377,37.717007,-4.296083,-12.041465,-1.693594,-4.0489855,-5.4881263,-0.2615186,-5.488453,-13.876145,8.075527,-2.3453665,-16.680367,-18.59209
PASD:512x384___2371669291,PASD,512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2371669291.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2371669291.png,test,-4.1591434,-1.1010704,-39.576626,-1.9198906,-4.8150425,-32.54828,-22.69613,26.803509,59.59955,-16.649466,13.406818,-21.367474,18.330616,-9.281329,-13.452165,33.127407,6.452406,8.053095,13.258508,7.770377,-6.2975063,-7.333492,10.288564,20.368282,-9.186533
PASD:512x384___2856053454,PASD,512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___2856053454.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___2856053454.png,train,6.8585167,-25.229954,-34.576927,9.130611,2.947139,24.600245,17.029858,0.7920098,10.716814,13.343515,-6.3953238,30.192907,37.402134,-11.670742,10.167062,32.574234,-23.97784,-21.576607,14.208574,-37.23188,-1.6517764,1.9992182,-8.691838,2.1569648,-11.778533
PASD:512x384___3455219027,PASD,512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3455219027.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3455219027.png,train,-13.28265,-13.970236,-6.362312,-2.7224076,-10.265711,-11.61956,-10.54488,5.0381665,-11.74609,-6.340423,-5.855878,6.137192,4.7793274,5.698885,14.591474,-11.419948,-12.602464,2.8581452,-2.1391501,11.580748,12.525736,7.210974,-2.622746,-13.354777,4.588719
PASD:512x384___3577464388,PASD,512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3577464388.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3577464388.png,train,15.104336,-14.312374,-49.315685,-0.44550073,-1.773885,-40.07674,-13.626907,6.0223327,67.9521,-14.242609,-3.4218354,-28.260954,21.204462,-7.739486,-17.246126,22.287586,-7.5157223,11.001595,7.4216847,24.175373,-24.231947,-18.243841,-14.761708,46.56597,-23.48384
PASD:512x384___3918280584,PASD,512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___3918280584.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___3918280584.png,train,-14.143671,7.297785,8.817884,-18.218863,-12.566475,1.0321131,3.1727107,-0.3255012,-12.099686,9.367559,2.4273498,4.0731335,2.034423,8.159177,4.704632,9.732812,8.084974,-3.610085,-5.3256907,2.7557485,-2.3615797,5.8982143,11.378572,0.89222735,-4.5755987
PASD:512x384___463525569,PASD,512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___463525569.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___463525569.png,train,-17.155617,-23.304184,21.958027,2.778282,8.079179,-23.306522,-21.364471,0.84251136,15.0332775,1.3579321,-8.507429,9.610947,3.736701,-12.5513525,0.8307444,-0.55455303,-8.073845,20.028126,1.246266,10.31661,8.402177,-8.091571,-1.3502556,-7.687604,-7.697156
PASD:512x384___4926447658,PASD,512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_upscaled/x4/PASD/512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set/512x384___4926447658.png,/mnt/ssd2/29o_rya/grounding_dataset/qinstruct_train_set_low_res/x4/512x384___4926447658.png,test,31.302559,-23.142784,-7.327775,-13.132265,6.752618,11.613276,6.968454,9.831498,-1.6395328,0.93397236,-2.3805828,-1.3586886,4.679072,19.770676,-18.871122,4.1357284,0.14347601,-0.14234686,-13.547402,-13.4026165,-5.687931,3.2311563,-9.65675,-15.917192,1.0995903
